name,asset_type,tags,location_id,street_address,unit,unit_type,municipality,city,state,zip_code,latitude,longitude,parcel_id,residence,iffy_geocoding,available_transportation,parent_location_id,parent_location,url,email,phone,hours_of_operation,holiday_hours_of_operation,periodicity,capacity,wifi_network,internet_access,computers_available,accessibility,open_to_public,child_friendly,sensitive,do_not_display,localizability,services,hard_to_count_population,data_source_names,data_source_urls,organization_name,organization_phone,organization_email,etl_notes,geocoding_properties
Asia Tea House,restaurants,,82071,4230 Forbes  Avenue,,,,Pittsburgh,PA,15213,40.4439793,-79.950515,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 0.8, 'accuracy': 'point', 'match_type': 'interpolated', 'layer': 'address', 'label': '4230 Forbes Avenue, Pittsburgh, PA, USA'}"
Arby's #1858,restaurants,,80034,6105 Saltsburg Rd,,,,Verona,PA,15147,40.48464329,-79.81915012,,,,,,,,,,,,,54,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Ash & Kris Pizza,restaurants,,83543,3507 Cable Place,,,,Pittsburgh,PA,15213,40.43663965,-79.95383071,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Armstrong's Restaurant,restaurants,,78525,5301 Grove (at Baptist / Caste Village) Road,,,,Pittsburgh,PA,15236,40.359283,-80.001676,,,,,,,,,,,,,168,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,Geocoded by Geocodio
Arby's #6941,restaurants,,79637,2040 Lebanon Church Rd,,,,West Mifflin,PA,15122,40.34780116,-79.9486312,,,,,,,,,,,,,92,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #1854,restaurants,,78228,1911 Braddock Avenue,,,,Pittsburgh,PA,15218,40.422889,-79.886146,,,,,,,,,,,,,88,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,Geocoded by Geocodio
Arby's #7345,restaurants,,81781,1804 Golden Mile Hwy,,,,Pittsburgh,PA,15239,40.44658619,-79.71318684,,,,,,,,,,,,,88,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #7345,restaurants,,78803,4260 Ohio River Blvd,,,,Pittsburgh,PA,15202,40.48768894,-80.05569171,,,,,,,,,,,,,66,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #7550,restaurants,,81606,4810 McKnight Road,,,,Pittsburgh,PA,15237,40.52537394,-80.00496274,,,,,,,,,,,,,70,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #7548,restaurants,,81608,450 Clairton Boulevard,,,,Pittsburgh,PA,15236,40.33466946,-79.94724596,,,,,,,,,,,,,94,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #7678,restaurants,,80873,2831 Jacks Run Rd,,,,Mc Keesport,PA,15131,40.33862956,-79.80623286,,,,,,,,,,,,,88,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #7633,restaurants,,81595,5205 Library  Road,,,,Bethel Park,PA,15102,40.33389884,-80.02358433,,,,,,,,,,,,,86,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #8042,restaurants,,81971,9100 University Blvd,,,,Coraopolis,PA,15108,40.50253032,-80.22266192,,,,,,,,,,,,,77,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #8,restaurants,,78262,3974 Wm Penn Hwy,,,,Monroeville,PA,15146,40.437979,-79.77292106,,,,,,,,,,,,,60,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #8133,restaurants,,84140,3435 Forbes Avenue,,,,Pittsburgh,PA,15213,40.43925944,-79.96052957,,,,,,,,,,,,,38,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #8079,restaurants,,83006,5189 Baum Boulevard,,,,Pittsburgh,PA,15224,40.4559398,-79.94241922,,,,,,,,,,,,,57,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #8436,restaurants,,82481,808 Liberty  Avenue,,,,Pittsburgh,PA,15222,40.44251615,-79.99875139,,,,,,,,,,,,,49,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arctic Avenue,restaurants,,82443,3446 5th Avenue,,,,North Versailles,PA,15137,40.3670011,-79.81896748,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Archie's,restaurants,,83947,2328 E Carson St,,,,Pittsburgh,PA,15203,40.42804406,-79.97170723,,,,,,,,,,,,,45,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arepittas,restaurants,,83854,411 Cherry Way,,,,Pittsburgh,PA,15219,40.43877174,-79.99857866,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Ardolino's Pizza,restaurants,,78563,1141 Boyce Road,,,,Pittsburgh,PA,15241,40.31791219,-80.10973081,,,,,,,,,,,,,10,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Argonne Inn,restaurants,,81092,1257 Argonne Drive,,,,Natrona Heights,PA,15065,40.61010122,-79.73262284,,,,,,,,,,,,,30,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Argo Ai Employee Cafeteria,restaurants,,83888,2545 Railroad  Street,,,,Pittsburgh,PA,15222,40.45600129,-79.98101916,,,,,,,,,,,,,125,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Armand's Bar,restaurants,,78394,4755 Liberty Avenue,,,,Pittsburgh,PA,15224,40.46148852,-79.94816074,,,,,,,,,,,,,44,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arriviste Coffee Bar ,coffee_shops,,84406,5730 Ellsworth Ave,,,,Pittsburgh,PA,15232,40.45535984,-79.93124403,,,,,,,,,,,,,21,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #42,restaurants,,78419,1378 Banksville Road,,,,Pittsburgh,PA,15216,40.41467945,-80.0306258,,,,,,,,,,,,,78,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Armstrong's Restaurant,restaurants,,79882,1136 Thorn Run Rd Ext,,,,Coraopolis,PA,15108,40.50583306,-80.20955465,,,,,,,,,,,,,120,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arsenal Cider House & Wine Cellar ,restaurants,,83038,300 39th Street,,,,Pittsburgh,PA,15201,40.46508188,-79.96093843,,,,,,,,,,,,,16,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arnold's Tea,restaurants,,83526,502 Ohio Street,,,,Pittsburgh,PA,15212,40.453686,-80.000472,,,,,,,,,,,,,40,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 1, 'accuracy': 'point', 'match_type': 'exact', 'layer': 'address', 'label': '502 E Ohio St, Pittsburgh, PA, USA'}"
Art's Tavern,restaurants,,77882,2852 Penn Avenue,,,,Pittsburgh,PA,15222,40.45764579,-79.97413753,,,,,,,,,,,,,3,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arsenal Cider House @ Soergel's ,restaurants,,72,2573 Brandt School Road,,,,Wexford,PA,15090,40.614598,-80.092754,,,,,,,,,,,,,20,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Artisan Sandwich Works,restaurants,,83840,352 Atwood Street,,,,Pittsburgh,PA,15213,40.43842254,-79.95457859,,,,,,,,,,,,,8,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Artisan Cafe ,restaurants,,82706,5001 Penn  Avenue,,,,Pittsburgh,PA,15224,40.46533916,-79.94390273,,,,,,,,,,,,,24,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Arby's #836,restaurants,,77666,1140 Washington Pike,,,,Bridgeville,PA,15017,40.36791149,-80.10314958,,,,,,,,,,,,,52,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Armstrong's Express,restaurants,,80890,609 Washington Avenue,,,,Bridgeville,PA,15017,40.3569645,-80.11266774,,,,,,,,,,,,,10,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
B P O E / Elks #1090,restaurants,,79978,1150 Stoops Ferry Rd,,,,Coraopolis,PA,15108,40.54280708,-80.21229354,,,,,,,,,,,,,30,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
B P O E / Elks Club #1668 Oakmont ,restaurants,,77320,106 Washington Avenue,,,,Oakmont,PA,15139,40.51619926,-79.84738263,,,,,,,,,,,,,179,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
B P O E / Elks Club #2213 South Hills ,restaurants,,82761,2789 South Park Road,,,,Bethel Park,PA,15102,40.327692,-80.035409,,,,,,,,,,,,,100,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 1, 'accuracy': 'point', 'match_type': 'exact', 'layer': 'address', 'label': '2789 South Park Rd, Bethel Park, PA, USA'}"
Babyface's Deli,restaurants,,84208,1000 Omega Drive,,,,Pittsburgh,PA,15205,40.447029,-80.122993,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,Geocoded by Geocodio
B P O E / Elks Club #339 Allegheny,restaurants,,77368,400 Cedar  Avenue,,,,Pittsburgh,PA,15212,40.45182616,-80.00076377,,,,,,,,,,,,,160,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Baldwin Backdraft,restaurants,,84414,3049 Chuchview Avenue,,,,Pittsburgh,PA,15227,40.380519,-79.966723,,,,,,,,,,,,,100,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,Geocoded by Geocodio
B P O E / Elks Club #577 Wilkinsburg ,restaurants,,77395,718 Brown Ave,,,,Turtle Creek,PA,15145,40.42790399,-79.83631228,,,,,,,,,,,,,70,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Bar Louie,restaurants,,84236,244 Bridge  Street,,,,Homestead,PA,15120,40.407064,-79.917427,,,,,,,,,,,,,155,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,Geocoded by Geocodio
B P O E / Elks Club #883,restaurants,,78017,424 Library St,,,,Braddock,PA,15104,40.40162079,-79.86473115,,,,,,,,,,,,,59,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
B52,restaurants,,84355,5202 Butler Street,,,,Pittsburgh,PA,15201,40.48042582,-79.95411165,,,,,,,,,,,,,31,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
BD's Mongolian Grill,restaurants,,82355,428 27th Street,,,,Pittsburgh,PA,15203,40.428165,-79.966201,,,,,,,,,,,,,150,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 1, 'accuracy': 'point', 'match_type': 'exact', 'layer': 'address', 'label': '428 S 27th St, Pittsburgh, PA, USA'}"
BFG Caf̩,restaurants,,82138,5335 Penn Avenue,,,,Pittsburgh,PA,15224,40.46475035,-79.93716152,,,,,,,,,,,,,48,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
BJ's Restaurant & Brew House #590,restaurants,,82969,1819 Washington Road,,,,Pittsburgh,PA,15241,40.34502725,-80.05548073,,,,,,,,,,,,,210,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
BJ's Restaurant & Brewhouse,restaurants,,84354,8970 Covenant Avenue,,,,Pittsburgh,PA,15237,40.57010359,-80.02301742,,,,,,,,,,,,,209,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
BRGR,restaurants,,82328,1500 Washington  Road,,,,Pittsburgh,PA,15228,40.35687602,-80.0512874,,,,,,,,,,,,,141,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Babcock Grill,restaurants,,83960,3337 Babcock Boulevard,,,,Pittsburgh,PA,15237,40.53405,-80.01948592,,,,,,,,,,,,,12,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Baby Loves Tacos  ,restaurants,,83008,4508 Liberty Avenue,,,,Pittsburgh,PA,15224,40.46278176,-79.95162604,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Baby Loves Tacos Taqueria & Market,restaurants,,84270,524 Grant Avenue,,,,Pittsburgh,PA,15209,40.48102096,-79.97470873,,,,,,,,,,,,,34,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Babyface's Cafe & Catering,restaurants,,83240,600 Bell Avenue,,,,Carnegie,PA,15106,40.417009,-80.089841,,,,,,,,,,,,,40,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 1, 'accuracy': 'point', 'match_type': 'exact', 'layer': 'address', 'label': '600 N Bell Ave, Carnegie, PA, USA'}"
Back Door Lounge,restaurants,,82994,1532 Brownsville Road,,,,Pittsburgh,PA,15210,40.39990005,-79.98938649,,,,,,,,,,,,,32,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Back to the Foodture ,restaurants,,83749,378 Broadway  Boulevard,,,,Pitcairn,PA,15140,40.4009718,-79.7826747,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,"{'confidence': 0.8, 'accuracy': 'point', 'match_type': 'interpolated', 'layer': 'address', 'label': '378 Broadway Boulevard, Pitcairn, PA, USA'}"
Backstreet Burgers & Deli,restaurants,,83395,68 Maple Avenue,,,,Clairton,PA,15025,40.29874327,-79.87443012,,,,,,,,,,,,,10,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Badamo's Pizza ,restaurants,,84374,1106 Federal Street,,,,Pittsburgh,PA,15212,40.45582822,-80.00651292,,,,,,,,,,,,,0,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Bado's Pizza Grille & Ale House ,restaurants,,80291,307 Beverly  Road,,,,Pittsburgh,PA,15216,40.38845354,-80.04969431,,,,,,,,,,,,,135,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Bae Bae's Cafe,restaurants,,84442,945 Liberty Avenue,,,,Pittsburgh,PA,15222,40.44359423,-79.996462,,,,,,,,,,,,,8,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Bae Bae's Kitchen,restaurants,,82760,951 Liberty  Avenue,,,,Pittsburgh,PA,15222,40.44366199,-79.9962249,,,,,,,,,,,,,22,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Bahama Breeze #3041,restaurants,,83342,6100 Robinson Center  Drive,,,,Pittsburgh,PA,15205,40.45067613,-80.15924198,,,,,,,,,,,,,278,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
Bakersfield ,restaurants,,83095,940 Penn  Avenue,,,,Pittsburgh,PA,15222,40.44404568,-79.99654532,,,,,,,,,,,,,82,,,,,,,,,FIX,,,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,,,,,
